 Symptoms,Disease,Treatment
"Dark urine, anorexia, hepatomegaly, liver tenderness, jaundice, abnormal globulin, elevated aspartate aminotransferase (AST) in serum, tense liver capsule, massive hepatic necrosis, increased serum alpha-fetoprotein, palmar erythema, fatigue",Hepatitis C,"Treatment options for Hepatitis C include:
1. Antiviral Treatment Regimen
Before initiating treatment, it is crucial to confirm whether the liver disease is caused by HCV infection. Only patients diagnosed with serum HCV RNA positivity require antiviral treatment. The most effective endorsed regimen is the combination of long-acting interferon, PEG-IFNα, and Ribavirin, which is the current standard of care (SOC) approved by EASL for chronic Hepatitis C. This is followed by the therapy combining conventional IFNα or compound IFN with Ribavirin, both superior to the use of IFNα alone. Pegylated interferon-α (PEG-IFNα) involves attaching an inert, non-toxic polyethylene glycol (PEG) molecule to the IFNα molecule, which delays the absorption and clearance of IFNα after injection, allowing effective plasma concentration maintenance with once-weekly dosing.

Direct-acting antiviral drugs (DAAs) incorporating protease inhibitors such as Boceprevir (BOC) or Telaprevir (TVR) in combination with interferon and Ribavirin as triple therapy, have been approved since May 2011 in the USA. Recommended for patients with genotype 1 HCV infection to enhance the cure rate. Boceprevir is taken three times daily post-meals (every 7-9 hours), or Telaprevir post-meal (not a low-fat diet) three times daily (every 7-9 hours). Monitoring of HCV RNA is crucial; if viral breakthrough occurs (serum HCV RNA rises >1log from the lowest value), protease inhibitors should be discontinued.

2. General Treatment for Patients with Hepatitis C
(a) Acute Hepatitis C: Evidence suggests interferon therapy can reduce the chronicity rate of acute Hepatitis C, performed 8-12 weeks after the acute hepatitis C virus infection onset, with a treatment duration of 12-24 weeks. The optimal treatment scheme is yet to be determined, yet early treatment is more effective for patients with genotype 1 and high viral load (>800000logIU/ml).
(b) Chronic Hepatitis C: The severity of liver disease should be evaluated before treatment, as those with recurrent abnormal liver functions or significant histological inflammation and necrosis (G≥2) or moderate to severe fibrosis (S≥2) are more likely to progress to cirrhosis and should receive antiviral therapy.
(c) Hepatitis C with Cirrhosis: For patients with compensated cirrhosis (Child-Pugh A), despite reduced tolerance and effectiveness of treatment, antiviral therapy under close monitoring is suggested to stabilize the condition, delay or prevent complications like liver failure and HCC. For patients with decompensated cirrhosis, interferon treatment is often poorly tolerated; liver transplantation may be considered if feasible.

3. Treatment for Special Cases of Hepatitis C
(a) Children and the Elderly: The experience on treatment of chronic Hepatitis C in children is still limited. Preliminary clinical study results show that IFNα alone has a higher SVR rate in children than in adults, with better drug tolerance. Antiviral treatment is also recommended for the elderly (>65 or >70 years old) based on comprehensive considerations including patient age, drug tolerance, co-existing conditions (such as hypertension, coronary heart disease), and patient willingness.
(b) Alcohol and Drug Users: Chronic alcohol misuse and drug abuse may promote HCV replication, exacerbating liver damage and accelerating the progression to cirrhosis or even HCC. Due to lower adherence, tolerance, and SVR rates, treatment of Hepatitis C must accompany cessation of alcohol and drug use.
(c) Co-infection with HBV or HIV: HBV co-infection can accelerate the progression of chronic Hepatitis C to cirrhosis or HCC. For patients positive for HCV RNA and negative for HBV DNA, anti-HCV treatment is prioritized; for those actively replicating both viruses, IFNα plus Ribavirin to clear HCV is recommended first, followed by anti-HBV treatment if HBV DNA remains positive after HCV treatment. Treatment strategies for patients co-infected with HIV also depend on the patient’s CD4+ cell count and liver fibrosis staging. Attention should be given to potential interactions between Ribavirin and antiretroviral nucleoside analogs, including lactic acidosis.

Antiviral treatment of Hepatitis C is long-term and may have significant side effects, requiring assessment, guidance, and safe medication under experienced professionals. Treatment efficacy should be promptly evaluated, guided by response, while closely monitoring for adverse drug reactions to minimize the occurrence of severe adverse events.

4. Contraindications for Antiviral Treatment
(a) Absolute contraindications for interferon include pregnancy; history of severe psychiatric disorders like major depression; uncontrolled epilepsy; untreated alcohol or drug addiction; uncontrolled autoimmune diseases; decompensated cirrhosis; symptomatic heart disease; pre-treatment neutrophil count <1.0×109/L; pre-treatment platelet count <50×109/L; acute phase organ transplant recipients (except for liver transplants).
(b) Relative contraindications for interferon include thyroid disease, retinopathy, psoriasis, history of depression, uncontrolled diabetes, uncontrolled hypertension.
(c) Absolute contraindications for Ribavirin include pregnancy, severe heart disease, renal dysfunction, hemoglobinopathies, hemoglobin (HB) <80g/L.
(d) Relative contraindications for Ribavirin include uncontrolled hypertension, uncontrolled coronary heart disease, HB <100g/L."
"Commonly presents with masses, abscesses, sinus tracts, no spinal deformity, no significant restriction in activity, cough, hemoptysis, low fever, night sweats, chest pain, weight loss, loss of appetite, and menstrual disorder.",Spinal Tuberculosis,"Treatment options for spinal tuberculosis mainly involve surgery due to the smaller size of the lesion and its superficial location as compared to vertebral tuberculosis. Treatment is determined based on two scenarios: 1) For a minority of cases with milder and shorter disease duration without abscess, fistula, and neurological symptoms, non-surgical treatment is considered, primarily through antituberculosis medication to halt and cure the lesion. 2) For the majority of cases, aggressive lesion removal surgery is recommended under systemic antituberculosis medication treatment to prevent the progression of the disease into the spinal canal, which may cause neurological symptoms and paraplegia. During surgery, thorough removal of the osseous lesions, abscess, tuberculous granulation tissue, and caseous necrosis is necessary. Due to the small and irregular shape of lesions in various parts of the spinal arch, complete removal through scraping is often challenging, and surgery usually involves resection of the diseased bone base. Care should be taken to avoid entering the spinal canal during the removal of lesions on the lamina and pedicles to prevent damaging the dura mater and spinal cord nerves. If surgery requires entering the spinal canal for lesion removal and decompression, care should be taken to avoid dura mater damage. If the dura mater is damaged, it should be immediately sutured to prevent subdural infection and adhesion. Post-operatively, thorough irrigation and placement of drainage (strips, sheets, tubes) are essential to promote adequate drainage and prevent infection and fistula formation. Postoperative antituberculosis medication treatment should continue for 6 to 9 months."
"Abnormal spinal morphology, back pain, abnormal gait",Spina Bifida,"What are the treatment options for spina bifida? 
    Untreated myelomeningocele can lead to a mortality rate of 80-90% within the first year of life, primarily due to meningitis and ventriculitis. Therefore, surgical intervention is necessary, except for children with: 1) flaccid paralysis of the lower limbs, incontinence, and concurrent progressive hydrocephalus; 2) visible severe congenital malformations; 3) neonatal ventriculitis. 
    (1) The purpose of surgery includes removing the herniated sac, releasing adhesions between the spinal cord and nerve roots, repairing soft tissue defects, and preventing cyst rupture and tension on neural tissue. 
    (2) Timing of surgery: Myelomeningocele surgery should be performed within 12-24 hours after birth; simple meningocele ideally within 1-2 weeks after birth, or if possible, delayed to 2-3 months for a safer procedure. Emergency surgery is required if the cyst wall is thin with a risk of rupture and subsequent infection; in cases of cyst wall rupture and infection or CSF leakage, surgery should be pursued once infection is under control and the wound is clean or nearly healed. 
    (3) Surgical technique involves positioning the patient prone with elevated buttocks and lowered head to minimize loss of CSF. For lesions in the lumbosacral area, a transverse shuttle incision is preferred to avoid contamination with urine or feces. Key intraoperative considerations include: 
        a. Handling of neural tissue: Incise at the base of the herniated sac at the junction with normal skin, reaching the paraspinal fascia to locate the neck of the sac. Incise laterally to avoid damaging the neural tissue in the center of the sac. Carefully free, release the spinal cord and nerve, allowing them to retract back into the spinal canal. If retraction is difficult, the upper end vertebra may be removed to enlarge the spinal defect for satisfactory release. 
        b. Dural closure: Identify the dura mater at the upper end of the lesion, dissect laterally then downward to free it from the paraspinal fascia, and suture it securely. Subsequently, the paraspinal muscles and their fascia are sutured or tension-reduced to fortify the repair. 
        c. Correction of concurrent spinal deformities: Treat vertebral protrusion deformities, etc., with laminectomy and spinal fixation with metal wires. 
        d. Repair of skin defects: Excise translucent or thin-skinned areas, suturing in two layers without tension. Most skin defects can be closed if dissection is kept at the fascial plane; for defects larger than half of the back, specialized skin flap mobilization or free skin grafting is required. 
    (4) Postoperative care: The patient should be positioned prone with the head lower to reduce the hydrostatic pressure of CSF on the repair site. Wound dehiscence or CSF leakage often indicates concurrent progressive hydrocephalus, necessitating ventricular external drainage or ventriculoperitoneal shunt surgery."
"Vomiting, recurrent hematemesis, hematemesis with melena, esophageal spasm",Mallory-Weiss Syndrome,"The treatment methods for Mallory-Weiss Syndrome include: 
1. Conservative treatment: Bed rest, closely monitor vital signs and hourly urine output, ensure airway patency to avoid asphyxiation during vomiting. Regularly recheck routine blood tests, and if necessary, monitor central venous pressure, especially in elderly patients. Fasting during bleeding episodes, and liquid diet can be resumed 24 hours after bleeding stops. If necessary, a gastric tube may be placed to remove gastric contents to avoid aggravation of tearing by a full stomach. 
(a) Actively replenish blood volume ensuring sufficient venous access, and if necessary, transfusion to maintain hematocrit (Hct) above 30%, and hemoglobin concentration above 70g/L. However, avoid excessive transfusions and fluid volume to prevent acute pulmonary edema or rebleeding. 
(b) Drug therapy for hemostasis, suppressing gastric acid secretion only effective when gastric pH >6.0, thus rapidly elevating intragastric pH is essential, commonly intravenous antacids, H2 receptor antagonists (e.g., cimetidine, famotidine), proton pump inhibitors (e.g., omeprazole, with the latter more frequently used clinically). Enhance mucosal protection with oral sucralfate, smectite (Diosmectite), compound glutamine (Mucosta); intravenous hemostatic drugs: aminocaproic acid, tranexamic acid (AMCHA), thrombin, vasopressin; oral hemostatics: 0.8% epinephrine saline solution, thrombin. 
(c) Antiemetics for severe vomiting, such as metoclopramide (Reglan), domperidone, mosapride. Most patients with Mallory-Weiss Syndrome bleeding can be completely cured with drug treatment. 
2. Endoscopic treatment: With the development of endoscopic technology, endoscopic hemostasis plays a critical role in emergency gastrointestinal bleeding, indicated for patients with massive bleeding, active bleeding or recent bleeding detected by endoscopy. 
(a) Local spray hemostasis, which works by contracting blood vessels or forming a coagulum on the wound surface. Mainly for active exudative bleeding, especially suitable for superficial tears. 
(b) Injection hemostasis, achieved by injecting drugs into the tear edge or bleeding point, compressing and contracting blood vessels or local coagulation. 
(c) Titanium clip hemostasis, an effective method widely used recently. Under endoscopic view, metal hemostatic clips directly grasp the bleeding vessels or torn mucosa, achieving immediate hemostasis and prevention of rebleeding. Mainly for patients with active or signs of rebleeding. 
(d) Microwave coagulation therapy, generating high temperatures through rapid oscillation of polar ions within tissues, causing protein coagulation. Endoscopically place the microwave electrode close to the bleeding site, select power between 30-50W, and apply for 5-8 seconds until bleeding stops. 
(e) Other methods include argon plasma coagulation, similar in principle to microwave coagulation. The efficacy can reach 80%-90%, with perforation and bleeding as main complications. Postoperative oral antibiotics, hemostatics, and mucosal protectants are administered, with a 24-hour fasting period. 
3. Arterial embolization: For patients who fail conservative or endoscopic treatment, arterial embolization can be considered, mainly targeting the left gastric artery or its esophageal branches using Seldinger technique through femoral artery catheterization. After conventional angiography to assess the situation, use 1mmx1mmx1mm absorbable gelatin sponge particles for embolization. The sponge is absorbed within about 2 weeks. This method provides rapid and reliable hemostasis but requires experienced interventional physicians. 
4. Surgical treatment: For patients who fail conservative or endoscopic treatment, emergency surgery should be considered to ligate the bleeding vessels."
"Back pain, sacral pain, low-grade fever, tiredness, weight loss, night sweats, loss of appetite, anemia",Spinal Tuberculosis,"What are the treatment methods for spinal tuberculosis? 
(1) General diagnostic and treatment principles: 
Treatment includes the same general treatment as for bone and joint tuberculosis. Detailed surgical treatments are described below. 
(2) Posterior spinal fusion surgery: 
Indications include vertebral lesions that have stabilized but with unstable spine, failure or instability of anterior spinal graft, and absence of anterior grafting with unstable spine during lesion clearance surgery. Preoperative preparation involves standard orthopedic surgical protocols, spinal X-ray localization to determine the fusion site, and blood preparation. Attention points include precise localization, ensuring fusion encompasses 1-2 healthy vertebrae above and below the diseased vertebra, and if transverse process fusion is performed, an appropriate number of transverse processes must be included. Autologous iliac bone or allogeneic bone can be used as graft material. Generally, spinal kyphotic deformities do not require correction, but for severe kyphotic deformities, protruding spinous processes may be removed. Postoperative management involves lying on a hard board bed or wearing a plaster vest for 3-6 months, gradual mobilization once graft fusion is confirmed by X-ray, and early mobilization for patients with cervical or thoracolumbar plaster immobilization. Continue anti-tuberculosis treatment for 6-12 months (monitoring for drug toxicity), monthly erythrocyte sedimentation rate checks, extending to every 3 months. Follow-up visits and X-ray examinations every 3 months after surgery and semi-annually after one year. 
(3) Lesion clearance surgery: 
Cervical lesion clearance may be approached through the oral cavity for atlantoaxial tuberculosis. For C2-C7 tuberculosis, an anterior cervical approach is generally used, entering through an incision along the anterior edge of the sternocleidomastoid muscle between this muscle, the carotid sheath, thyroid, trachea, and esophagus, exposing the lesion site and after confirmation through biopsy, removing the lesion with a curette, thoroughly irrigating, and deciding on bone grafting based on the extent of bone loss. Care must be taken to avoid damaging the recurrent laryngeal nerve, superior laryngeal nerve, superior thyroid artery, esophagus, and trachea. Postoperative breathing should be monitored, and drainage tubes removed within 24-48 hours. For thoracic vertebrae, rib transversectomy lesion clearance is applicable to all thoracic vertebral tuberculosis, performed under general anesthesia with endotracheal intubation through a midline incision adjacent to the thoracic spine, exposing and removing transverse processes and posterior segments of the ribs, ligating intercostal arteries, and reaching the vertebral body to clear the lesions. If the pleura is breached, it should be sutured immediately, and pleural puncture to evacuate gas performed at the end of surgery, with closed pleural drainage if necessary. For thoracic and lumbar spine, lesion clearance suitable for T11-L1 spinal tuberculosis generally involves general anesthesia, a 60° lateral position, using a combined thoracolumbar incision (similar to a renal incision), removal of ribs 11 and 12 if necessary, detaching the diaphragm, pushing the kidney forward, exposing paraspinal abscesses, ligating lumbar arteries, entering the lesion, and thoroughly clearing it. If vertebral destruction is severe, intervertebral bone grafting may be performed. For lumbar spine, appropriate for L3-L5 and S1 tuberculous lesions, performed under epidural or general anesthesia in a supine position through a midline incision, the abdominal wall is opened to the extraperitoneal space, pushing the peritoneum to expose the anterior spine and abscesses, if lesions are present on the opposite side, an incision may be made on that side as well."
"Reddish face, aversion to cold, high fever, inability to keep eyes open, dry mouth and tongue, facial pain",Erysipelas,"Treatment options for Erysipelas include:

Herbal Prescription:

1. Main prescription is Puji Xiaodu Yin, from Li Gao's 'Dongyuan's Ten Books'.
   Prescription: Baical Skullcap root 10g, Coptis chinensis 10g, Figwort 15g, Forsythia 12g, Isatis root 15g, Puffball 9g, Burdock seed 10g, Mint 6g, Stiff Silkworm 9g, Platycodon 6g, Cimicifuga 6g, Bupleurum 6g, Tangerine Peel 6g, Licorice 5g. Decoction taken twice daily, once in the morning and once in the afternoon.

   If there is strong exterior pathogenic invasion at the early stage, with prominent symptoms of aversion to cold, headache, and body ache, remove Stiff Silkworm, Tangerine Peel, and Figwort, add Nepeta 9g, Saposhnikovia 9g, and Pueraria Root 12g. If there is also constipation with a dry yellow tongue coating, remove Cimicifuga and Tangerine Peel, add raw Rhubarb 9g (added towards the end), Mirabilite 6g (dissolved), and Zhi Shi 9g. For severe headache, add Chrysanthemum 15g, Vitex 10g.

2. Patent medicines:

   (1) Shuanghuanglian powder for injection, 3g added to 500ml of 5% glucose solution or 0.9% saline, IV drip once daily.

   (2) Isatis root injection solution, 2-4ml per dose, intramuscular injection, 2-3 times daily.

   (3) Xin Huang Tablet, 3-4 tablets per dose, 3-4 times daily.

3. Proven singular prescription of Chaihu Gypsum Soup, from 'Selection of Secret Recipes from China'.
   Prescription: Bupleurum 12g, Raw Gypsum 15g, Pueraria Root 9g, Trichosanthes Root 9g, Baical Skullcap root 9g, Roasted Burdock seed 9g, Forsythia 9g, Platycodon 9g, Cimicifuga 9g, Licorice 9g. Decoction taken twice daily."
"Light brown spots, pigmented lesions, pigmentary disorders",Melasma,"There are several methods to treat melasma, including: 
1. Preventing clogged pores and maintaining clear pores through thorough massage, facial application, and extraction of deposited pigments. 
2. Consuming foods and fruits high in Vitamin C to brighten skin. 
3. Supplementing nutrition and enhancing liver function. 
4. Eating foods rich in calcium. 
5. Maintaining a positive mood to relieve fatigue. 
6. Getting ample sleep. 
7. Performing appropriate skincare and maintenance before and after pregnancy. 
8. Avoiding prolonged exposure to sunlight. 
9. Providing adequate protection against ultraviolet rays, selecting sunscreen products, and restoring the skin's whiteness and elasticity. 
10. Avoiding consumption of foods and drinks high in colorants. 
11. Engaging in proper exercise to promote blood circulation and metabolism. 
To prevent melasma, it is crucial to always maintain a cheerful spirit and ensure the normal function of internal organs. For the removal of existing dark spots, it is essential to increase the intake of Vitamin C, protein, and iron, and actively carry out special skincare routines such as massage and facial applications to promote metabolism and accelerate the elimination of melanin."
"Esophageal ulcers, dysphagia, chest pain, gastrointestinal stricture, difficulty swallowing, esophageal spasms, gastroesophageal reflux disease symptoms, food regurgitation into the nasal cavity, weight loss",Achalasia,"What are the treatment options for Achalasia? 1. Treatment Principles: Currently, there are three main approaches to treating this condition: pharmacotherapy, dilation, and esophageal myotomy. Regardless of the method, the goal is to relieve resistance caused by the non-relaxation, incoordination, and spastic contraction of the lower esophageal sphincter, facilitating esophageal emptying. 2. Pharmacotherapy: There are limited drugs available for achalasia treatment, with nitrates and calcium channel blockers being somewhat effective in reducing lower esophageal sphincter pressure to facilitate emptying. However, their effect is short-lived and may not be effective for all patients. In such cases, dilation or esophageal myotomy may be considered. 3. Dilation: Esophageal dilation for the treatment of achalasia has been widely used and is constantly being improved with advances in science and technology for efficacy, safety, and comfort, making it adaptable for a wider range of application. Excluding patients with concurrent esophagitis since inflamed mucosal tissue is more prone to tearing and creating excess openings, dilation is generally recommended after medical control of inflammation for increased safety. Pre-procedure preparations include fasting and esophageal cleansing with a thick nasogastric tube to remove residual food, preventing aspiration and facilitating observation during the procedure. In addition to the traditional bougienage dilation, pneumatic or hydrostatic forced dilation are now utilized, providing long-term symptom relief. The procedure is performed under X-ray fluoroscopy guidance using an endoscope and guidewire to place the dilator, effectively preventing perforation risks. Pre-medication includes atropine, suitable sedatives, and analgesics. Under local anesthesia and fluoroscopy, the pneumatic or hydrostatic dilator is introduced into the esophagus, and pressure is applied when the dilating balloon spans the gastroesophageal junction, with the effect of dilation determining the necessity of further sessions. 4. Esophageal Myotomy: This surgical method aims to relieve the inability of the lower esophageal sphincter to relax, potentially improving esophageal emptying. The procedure is straightforward, easy to perform, with few post-operative complications, low mortality rate, and applicable to any age group. It has been used since the 1950s to treat achalasia."
"Local congestion and edema, unbearable pain, inflammation and pus formation, muscle atrophy, restricted movement",Osteomyelitis,"The treatment of osteomyelitis necessitates a three-pronged approach to ensure efficient and comprehensive recovery: timely and accurate diagnosis, effective integrated treatment, and prompt rehabilitative exercises coupled with routine healthcare maintenance. 

1. Timely and Accurate Diagnosis: The primary symptoms of osteomyelitis include joint swelling followed by pain, functional impairment, and muscle atrophy. Incorrect diagnosis or delayed treatment can lead to loss of the optimal treatment window, exacerbating the condition. 

2. Effective Integrated Treatment: Upon accurate diagnosis, immediate and appropriate treatment is crucial. Early-stage osteomyelitis may respond well to antibiotic therapy, yielding satisfactory results. 

3. Prompt Rehabilitative Exercises and Post-treatment Healthcare: It is advisable to pair treatment with functional exercises to prevent complications post-recovery and to maintain health through routine care."
"Sudden, transient, and temporary loss of consciousness",Syncope,"What are the treatment methods for syncope? Before treating syncope, what should be taken into consideration? 

Prevention: If there is a clear inducement, it should be avoided as much as possible. 

Emergency Treatment: Upon occurrence, do not panic. The patient should first lie down in a position with the head lower than the feet, loosen the collar and belt, ensure warmth and quiet. Acupoint stimulation can be applied to 'Ren Zhong' and 'Nei Guan', and warm tea or sugar water can be administered. Generally, after the above treatment, the patient quickly regains consciousness. In cases of syncope caused by severe bleeding or heart disease, immediate medical attention is necessary. 

Treatment in Traditional Chinese Medicine: 
Qi Syncope: Characterized by sudden fainting due to emotional stimulation, unconsciousness, coarse breathing, clenched jaw and fists, limbs cold to touch, thin white tongue coating, deep forceful pulse or deep string-like pulse. Treatment principle: Smooth the Qi and relieve stagnation. Primary prescription: 'Wu Mo Yin Zi' with modifications such as adding 'Gou Teng', 'Shi Jue Ming', 'Ci Shi' for cases with excess liver yang, adding 'Suan Zao Ren', 'Yuan Zhi' for restless sleep, adding 'Dan Xing', 'Bei Mu', 'Zhu Li' for excessive phlegm. 
Blood Syncope: Characterized by sudden collapse, unconsciousness, clenched teeth, facial redness, dark red eyes, purple-black lips, red or dark purple tongue. Pulse string-like. Treatment principle: Activate blood and smooth the Qi. Primary prescription: 'Tong Yu Jian' with modifications like adding 'Gou Teng', 'Shi Jue Ming', 'Long Dan Cao', 'Dan Pi', 'Chang Pu' for irritability, and 'Ju Hua', 'Zhen Zhu Mu', 'Gou Qi Zi' for dizziness and headache. 
Heat Syncope: Symptoms include sudden collapse, shortness of breath, speechlessness, prostration, unstoppable cold sweat, flushed or pale face, thirst, scanty urination, red and dry tongue, rapid large pulse. Treatment: Clear heat, open orifices, augment Qi, and generate fluids. Primary prescription: 'Bai Hu Jia Ren Shen Tang' with modifications for dampness-afflicted individuals, adding 'Bai Zhu', 'Cang Zhu Tang'. 
Phlegm Syncope: Characterized by sudden fainting, unconsciousness, gurgling phlegm in the throat or spitting saliva, coarse breathing, limbs cold to touch, white greasy tongue coating, wiry slippery pulse. Treatment principle: Move Qi and dispel phlegm. Primary prescription: 'Dao Tan Tang' with modifications like adding 'Su Zi', 'Bai Jie Zi' for phlegm obstruction, adding 'Huang Qin', 'Zhi Zi', 'Gua Lou Ren' for phlegm heat presenting with dry mouth and constipation, yellow greasy slippery pulse. 
Food Syncope: Sudden fainting due to overeating, chest tightness, epigastric and abdominal distension and pain, yellow greasy tongue coating, slippery pulse. Treatment principle: Harmonize the middle and promote digestion. Primary prescription: 'Shen Zhu San'. 

Western Medical Treatment: The focus is on treating the cause and preventing onset. During an episode, the patient should be made to lie down with the head lower, collars and belts loosened, leading to recovery of consciousness. If consciousness is slow to return, low blood pressure, slow heart rate, acupuncture at 'Ren Zhong' and other acupoints, intramuscular injection of sodium benzoate caffeine 0.25g or atropine 0.5mg can be tried. Oxygen inhalation may be necessary. If still ineffective, it's essential to rule out other severe organic causes of syncope. 

Etiological Treatment: If the cause has been identified, early treatment should be commenced. This is the most effective measure for curing syncope. Clear inducements should be avoided as much as possible."
"Febrile episodes with diaphoresis, lethargy, emaciation and weakness, nausea and vomiting, followed by fever headaches, projectile vomiting, neck stiffness, convulsions of the hands and feet, stupor and delirium, incontinence of urine and feces, may be accompanied by ptosis, strabismus, diplopia, blindness, aphasia, facial paralysis, hemiplegia, quadriplegia, and intellectual disability.",Cerebral Palsy,"What are the treatment methods for cerebral palsy?
Pre-treatment considerations for cerebral palsy
1. Syndrome of phlegm-fire obstructing orifices: Presents with fever, thirst without desire to drink, projectile vomiting, clouded consciousness, agitation, somnolence, even stupor, rales in the throat, red tongue, yellow greasy coating, and slippery rapid pulse. Treatment focuses on clearing heat, dissolving phlegm, and opening orifices.
2. Syndrome of blood stasis obstructing cerebral collaterals: Features headache with stabbing pain or persistent headache, dizziness and vertigo, or coma, projectile vomiting, cyanosis of the lips and face, dark tongue or with ecchymosis, and choppy pulse. The therapeutic principle is to dissolve stasis and unblock collaterals.
3. Syndrome of yin deficiency and ascendant liver wind: Manifests as body heat and emaciation, flush face, night sweats, convulsions or rigidity of limbs, projectile vomiting, yellow urine and dry stools, glossy red tongue without coating, and fine rapid pulse. The treatment should nourish yin and extinguish wind.
4. Syndrome of deficiency of both qi and yin: Symptoms include fatigue and lack of strength, shortness of breath and disinclination to speak, dry throat and mouth, flushed cheeks, or presence of night sweats, red tongue with little coating, and fine weak rapid pulse. The strategy involves augmenting qi and nourishing yin."
"Oral mucosa presents with white or grayish-white homogenous, harder patches of varying shapes and sizes, with a soft base, peak-like protrusions, raised lesions, uneven surfaces, and sometimes with papillary or spiky projections, palpably slightly hard.",Oral Leukoplakia,"The treatment options for Oral Leukoplakia include:
1. The primary measure involves eliminating irritants, such as stopping smoking, abstaining from alcohol, avoiding hot or spicy foods, and removing any dental causes like roots, crowns, or poor restorations. The use of caustic agents like phenol or silver nitrate on leukoplakia is strictly prohibited.
2. After rectifying harmful habits like smoking and if the lesion still persists, consider pharmacotherapy and further identify causative factors.
3. Oral Vitamin A administration at 50,000 IU daily, or retinoic acid at 35-50mg/d. Initial doses might cause headache or dizziness, hence dosage reduction may be considered, usually adjusting within a few days. From the second to third week, gradually increase the dosage to 30-60mg daily, divided into three doses, for a course of about 1-2 months. Common side effects include dry lips and hair loss. Contraindicated in patients with coronary heart disease, abnormal liver/kidney function, and hyperlipidemia.
4. A 0.2% retinoic acid solution is suitable for topical application but not for lesions with congestion or erosion. Application should be done after drying the saliva, using the finest brush to apply a small amount of solution along the white area, avoiding the vermillion border of the lips. Ointment formulations are not recommended due to poor adhesion to the slick oral mucosa. New formulations like isotretinoin and arotinoid essentially have similar effects to retinoic acid, with main advantages being lower dosages (0.5mg/kg daily), lower toxicity, and fewer side effects (dry lips, hair loss), but are teratogenic.
5. Long-term application of cod liver oil directly on leukoplakia 2-3 times a day, for a course of 1-2 months, without applying too much pressure, is recommended. Oral consumption of cod liver oil, or Vitamin A 50,000 IU is also an option. Close follow-up is essential during conservative treatment.
6. For lesions that do not heal over time, do not regress post-treatment, or if the white patches develop fissures, ulcerations, a hard base, significant thickening, or have proven to be precancerous, early surgical excision is recommended."
"Fatigue, headache, irritability, tremors, convulsions, difficulty breathing, cough",Hypernatremia,"The treatment modalities for hypernatremia vary depending on the underlying cause of elevated serum sodium levels. 
For hypervolemic hypernatremia, it is imperative to treat the primary condition, restrict the intake of sodium chloride solutions, and administer diuretics like furosemide and sodium bicarbonate to facilitate the excretion of sodium and water through the kidneys. In cases of pulmonary edema and heart failure, cardiotonic and diuretic therapies are recommended. 
For concentrated hypernatremia, it is essential to scientifically replenish water and take measures to prevent further loss of water to reduce hyperosmolality. If oral intake is possible, it should be prioritized. Intravenous administration of isotonic glucose solution can quickly decrease osmolality, but rapid correction of severe hypernatremia can lead to serious complications. Ideally, serum sodium levels should be brought close to normal within 48 hours. The formula for calculating dehydration volume is: 
Dehydration volume = Total body water x ([PNa/140] - 1) 
The total body water varies between genders and can be calculated based on 60% or 50% of dry weight per kilogram, but usually, calculating it as 50% for men and 40% for women is safer. For example, for a 60kg male patient with a serum sodium of 168mmol, the dehydration volume = 60 x 0.5 x (168/140 - 1) = 30 x (1.2 - 1) = 6L 
Type of fluids for rehydration varies according to the basic cause. For simple dehydration, 5% glucose water is used, and if necessary, small amounts of insulin should be injected. If there is also salt loss, 3/4 of the rehydration volume should be 5% glucose water, and the remaining 1/4 saline. If there is hypotension, saline should be administered first to improve tissue perfusion. If there is potassium deficiency, KCl can also be supplemented, but urinary output should be monitored; simultaneously, adding KCl can increase the total osmolality of the rehydration solution, which should be cautiously noted."
"Strabismus, easy excitability, girdle muscle weakness, muscular atrophy, painful contraction of the calf muscles, difficulty swallowing, prone to agitation",Congenital Myotonia,"What are the treatment options for Congenital Myotonia?
    1. Currently, there is no cure for this condition. Treatment is symptomatic, targeting myotonic symptoms. Many patients with mild symptoms have adapted to their condition, which does not significantly affect their daily lives; thus, they do not require special treatment. For severe cases, where myotonia adversely affects life and work, pharmacological treatment can be administered; progression usually does not significantly worsen in autosomal dominant cases. Autosomal recessive cases may slowly worsen and can be accompanied by transient muscle weakness;
    2. The principles of treating Congenital Myotonia and Myotonic Dystrophy are similar. There is good response to local anesthetics and antiarrhythmic drugs, which mainly act by inhibiting sodium channels, although their effects on chloride channels are not well understood. Mexiletine is the drug of choice.
    3. For neonates with congenital myotonia, care should be taken during feeding to avoid aspiration pneumonia. Those with accessory myotonia symptoms need to keep warm and avoid working in cold environments. During medication, patients should be aware of the potential side effects and undergo periodic blood counts and electrocardiograms. Acetazolamide, carbamazepine, and clonazepam also have demonstrated efficacy. Moderate doses of corticosteroids can reduce the severity of myotonia."
